Food,Category,Serving Size,SS Unit,Calories per Serving,Grams CO2e per Serving,Grams CO2e per kcal
BANANAS,Fruit,140,grams,112,738.4012878,3.662704801
ALMONDS,Nut/Seed/Legume,30,grams,172,166.1117114,0.965765764
APPLES,Fruit,140,grams,80,106.7276615,1.334095769
APRICOTS,Fruit,140,grams,67,77.38296324,1.154969601
ARTICHOKES,Vegetable,85,g,40,208.1355708,5.20338927
ASPARAGUS,Vegetable,85,g,17,295.435401,17.378553
AVOCADOS,Vegetable,30,grams,48,67.92652539,1.415135946
BARLEY,Grain,45,g,159,31.30719531,0.196900599
BEEF,Meat,113.4,grams,372,978.3879,1.845666667
BELL PEPPERS,Vegetable,85,g,17,79.84740568,4.696906216
BLACK AND WHITE PEPPER,Other,0.7,g,2,2.498731879,1.24936594
BLACKSTRAP MOLASSES,Other,1,tbsp,58,2.002488701,0.034525667
BLUEBERRIES,Fruit,140,grams,80,388.3133035,4.853916294
BROCCOLI,Vegetable,85,g,29,77.45198351,2.670758052
BROILER CHICKEN,Meat,114,g,264,285.4254669,0.864925657
BRUSSEL SPROUTS,Vegetable,85,g,37,113.117158,3.057220488
BUTTER,Oil,1,tbsp,100,79.47636903,0.79476369
CABBAGE,Vegetable,85,g,21,27.68043397,1.318115903
CANTALOUPE,Fruit,140,g,48,77.59289069,1.616518556
CARROTS,Vegetable,85,g,35,34.86670048,0.996191442
CAULIFLOWER,Vegetable,85,g,21,83.0413019,3.95434771
CELERY,Vegetable,85,g,14,40.18986086,2.870704347
CHEESE,Dairy,28.35,grams,104,250.236,2.406115385
CHOCOLATE LIQUOR,Other,15,g,95,30.60609639,0.322169436
COCOA BEANS,Nut/Seed/Legume,5,g,32,7.263138709,1.452627742
COCOA BUTTER,Other,1,tbsp,119,47.25914883,0.397135704
COCONUT OIL,Oil,1,tbsp,116,24.96231516,0.215192372
CORN,Vegetable,1,ear/half cup kernels,77,145.8311111,1.893910534
CORN OIL,Oil,1,tbsp,119,12.19573032,0.102485129
CRANBERRIES,Fruit,55,grams,26,120.6861232,4.641773968
CUCUMBERS,Vegetable,85,g,13,44.9807052,3.460054246
DRY BEANS,Nut/Seed/Legume,35,g,115,86.19914441,0.749557778
EGGPLANT,Vegetable,85,g,21,63.3456085,3.016457548
EGGS,Dairy,1,egg,71,118.8675,1.674190141
FIGS,Fruit,140,grams,104,58.27030365,0.560291381
FISH,Meat,110,grams,106,413.8403335,2.069201667
FLAXSEED,Nut/Seed/Legume,30,grams,161,17.75121833,0.110256014
GARLIC,Vegetable,30,g,43,44.24485656,1.028950152
GRAPEFRUIT,Fruit,140,grams,45,26.64779259,0.592173169
HAZELNUTS,Nut/Seed/Legume,30,grams,189,96.23762376,0.254596888
HONEY,Other,21,grams,64,46.31493528,0.723670864
HONEYDEW,Fruit,140,g,50,82.85342565,1.657068513
KIWIS,Fruit,140,grams,85,120.7360692,1.420424343
LAMB,Meat,114,g,319,"1,407.40",3.088331658
LARD,Oil,1,tbsp,115,7.999587681,0.069561632
LETTUCE,Vegetable,85,g,13,46.04533727,3.541949021
LIMA BEANS,Nut/Seed/Legume,35,g,118,160.7102692,1.361951434
MACADAMIA NUTS,Nut/Seed/Legume,30,grams,215,221.4232357,0.373844812
MILK,Dairy,250,ml,156,247.5613377,1.586931652
NECTARINES,Fruit,140,grams,62,87.40545547,1.409765411
OATS,Grain,45,grams,156,31.30719531,0.200687149
OLIVE OIL,Oil,1,tbsp,119,98.78489009,0.830125127
OLIVES,Other,15,grams,22,16.03265783,0.728757174
