,Global average,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Ireland,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Slovakia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States of America
WHEAT,701,726,812,313,336,816,592,574,613,836,872,544,250,798,431,226,301,633,483,0,806,283,534,477,1603,592,499,382,413,399,518,418,626,1557,687,927,420,525,660,347,522,921,698,217,841
RICE,756,715,951,0,0,1086,0,857,457,0,0,0,0,0,0,880,0,570,1075,0,936,0,694,370,420,0,0,0,791,0,0,0,0,963,1225,1225,0,2898,1050,0,0,636,977,0,658
MAIZE,536,499,685,212,149,766,284,388,509,413,0,398,0,0,0,296,248,281,295,0,1113,0,297,948,1702,0,1450,356,996,172,330,0,477,694,462,832,412,801,401,0,283,496,557,0,334
OATS,766,1109,911,227,207,1634,511,612,385,407,1736,423,229,650,279,340,339,664,523,0,0,138,760,486,0,806,723,210,1180,217,410,187,559,1640,618,1178,827,1657,1248,271,229,844,721,180,909
QUINOA,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEREALS,1143,966,0,101,0,0,0,0,476,354,0,356,0,0,478,0,0,0,1077,0,0,0,360,0,1614,0,650,201,0,0,354,0,614,0,453,1716,628,986,0,0,0,0,665,0,0
POTATOES,349,259,203,183,132,311,353,654,367,629,184,224,133,247,152,173,145,282,385,609,354,148,264,162,211,360,265,195,320,132,220,179,332,550,432,396,338,274,260,152,167,178,456,124,484
SWEET POTATOES,128,154,104,0,0,151,0,598,100,0,0,0,0,0,0,0,0,120,0,0,222,0,109,56,78,0,0,0,97,0,139,0,0,205,0,0,0,820,173,0,0,0,0,0,297
BEANS,1848,573,2154,0,397,1194,1062,1657,1482,526,2246,870,0,1100,0,493,0,564,1074,0,3877,400,710,552,3117,880,1218,370,1835,338,0,0,1256,1187,1467,713,912,1146,1191,1462,0,513,888,0,2847
PEAS,660,549,992,816,265,278,949,2628,1441,1707,0,525,566,1480,525,257,367,511,606,0,1585,479,417,520,0,979,1454,378,983,254,458,0,1123,0,1091,634,622,1215,961,792,332,368,918,580,1982
CHICKPEAS,1392,524,909,0,0,0,1462,2451,482,0,583,1366,0,0,0,0,0,656,1105,0,1342,0,906,0,0,0,0,0,518,0,0,0,0,1114,1431,780,2010,0,1537,0,0,874,0,0,5079
LENTILS,1958,719,1552,0,0,0,1798,3153,2003,1230,5369,2835,0,0,0,1193,0,1111,1871,0,2965,0,2338,0,0,0,0,0,2000,0,1183,0,0,0,0,1562,1674,0,2349,0,0,773,3051,0,4759
CASHEWS,4739,0,0,0,0,11165,0,0,8210,0,0,0,0,0,0,0,0,0,0,0,4839,0,0,0,0,0,0,0,3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMONDS,4024,2218,2071,0,0,0,0,5141,1903,725,18029,0,0,0,0,1366,0,2737,4329,0,0,0,2688,0,0,0,0,0,2018,0,0,0,0,7010,0,0,0,0,10559,0,0,1258,77266,0,3264
